Table-18:  Deposits  distributed by Size of Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(Amount in Crore Tk),,,,,,,,,(Amount in Crore Tk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,2019,,,,,,,,2020,,,,,,,,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,
,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q*-1,
Account Size Range Name,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk
"Tk. 4,00,001 to Tk. 5,00,000",620724.00,28140.25,651236.00,29566.43,668457.00,30324.04,682739.00,30989.55,694757.00,31553.27,726672.00,33082.53,779208.00,35547.40,812631.00,37130.00,813492.00,37065.05,839262.00,38094.56,898461.00,40865.69,913319.00,41612.04,924349.00,42018.35,970201.00,44077.82,999403.00,45398.25,977081.00,44510.45,1033541,46973,1079591,49021,1134793,51561,1120121,50990,1155782,52606,1189609,54113,1265605,57655,1325011,60619,1389971,63806
"Tk. 5,00,001 to Tk. 10,00,000",1345543.00,94786.00,1399221.00,98798.00,1439096.00,101440.74,1479197.00,104494.92,1490557.00,105291.42,1544583.00,109340.83,1624596.00,115190.85,1707720.00,121254.67,1727692.00,122050.18,1813795.00,127534.25,1906820.00,134344.71,1980690.00,140641.69,1991524.00,141034.29,2050122.00,144550.62,2117917.00,149147.55,2032730.00,143813.90,2206642,155723,2306957,162860,2405285,169883,2341127,166491,2401732,170552,2487175,176652,2610772,185613,2662863,190609,2696142,193226
"Tk. 10,00,001 to Tk. 25,00,000",741374.00,112794.66,772744.00,117757.25,787705.00,119929.03,803651.00,122425.07,803909.00,122449.48,834351.00,127514.14,863422.00,131990.41,899999.00,137642.01,895422.00,136273.66,943827.00,142866.38,983326.00,149166.20,995934.00,152279.56,995948.00,151814.70,1057608.00,161011.15,1083919.00,164802.11,1019376.00,155678.39,1096357,166971,1142545,174269,1163434,177390,1127173,172708,1126343,172361,1152718,176293,1192205,182272,1202468,184601,1190571,183022
"Tk. 25,00,000 to Tk. 50,00,000",223085.00,79042.75,237044.00,84209.98,240867.00,85497.77,247728.00,87980.11,251935.00,89772.66,266372.00,95246.47,276153.00,98914.22,289263.00,103638.97,277864.00,99272.06,283993.00,100763.83,302445.00,107386.16,329028.00,116892.10,331269.00,117466.31,340794.00,121044.03,346633.00,122879.19,343489.00,121731.81,363423,129061,384882,136543,394754,140344,396094,141180,398454,142478,412334,147457,424792,151917,433675,155505,436250,157228
"Tk. 50,00,001 to Tk. 75,00,000",64078.00,38202.45,67306.00,40156.36,69102.00,41151.60,71793.00,42765.70,72520.00,43277.99,76659.00,45771.41,79019.00,47173.76,83437.00,49823.78,81150.00,48453.01,85999.00,51205.32,90207.00,53821.10,99386.00,59263.77,101786.00,60696.97,109937.00,65551.66,112200.00,66814.70,111369.00,66560.86,119965,71665,127694,76162,130032,77646,132106,78783,136071,81222,142591,85061,147386,87925,149520,89136,149662,89349
"Tk. 75,00,001 to Tk. 1,00,00,000",33765.00,30367.34,36133.00,32545.05,36712.00,33058.59,38371.00,34570.65,39122.00,35250.23,41560.00,37467.70,43145.00,38964.06,44947.00,40588.27,42564.00,38374.50,42062.00,37719.17,45487.00,40733.42,49880.00,44603.67,50978.00,45518.77,54654.00,48764.49,55799.00,49753.61,56203.00,50217.60,59329,52893,63359,56484,65267,58155,67817,60293,68682,61009,71947,63778,74256,65873,77535,68833,79563,70630
"Tk. 1,00,00,001 to Tk. 5,00,00,000",54970.00,113826.69,57878.00,119782.03,57239.00,117948.01,59228.00,122283.28,59980.00,124029.52,63481.00,131544.27,62963.00,131297.20,65919.00,137384.16,64726.00,134294.80,67882.00,137898.29,68925.00,141944.60,73875.00,152441.30,74229.00,152633.52,78694.00,161871.73,78725.00,161656.72,79883.00,166443.39,81344,167679,85841,176908,84503,174258,87167,180691,87101,181256,89772,186708,89760,187328,92516,194337,91623,194517
"Tk. 5,00,00,001 to Tk. 10,00,00,000",8127.00,58413.57,8367.00,59841.97,8236.00,59367.46,8604.00,61270.63,8530.00,60933.93,8797.00,62500.73,8952.00,64137.26,9426.00,67308.61,9555.00,67733.45,9529.00,66941.55,9699.00,69120.58,10472.00,74486.68,10499.00,74798.48,11013.00,78734.91,11079.00,79202.27,11525.00,82839.93,11487,81643,11865,84066,11544,81899,11945,84288,12040,84652,12245,86603,12211,86313,12652,89452,12446,88569
"Tk. 10,00,00,001 to Tk. 15,00,00,000",2926.00,34756.94,2819.00,33856.36,2697.00,32261.94,2879.00,34564.88,2930.00,35173.32,3032.00,36568.80,2986.00,36010.65,3184.00,38352.95,3216.00,38659.91,3305.00,39712.45,3234.00,38976.85,3507.00,42204.01,3446.00,41717.82,3599.00,43512.70,3642.00,44010.71,3812.00,46199.04,3865,46490,3763,45417,3806,46010,3845,46201,3875,46611,4081,49200,4074,49088,4082,49303,4396,54365
"Tk. 15,00,00,001 to Tk. 20,00,00,000",1319.00,23637.74,1307.00,23336.01,1316.00,23591.98,1394.00,24786.12,1376.00,24474.79,1396.00,24957.09,1326.00,23730.47,1472.00,26354.92,1391.00,24845.79,1430.00,25431.26,1571.00,28086.59,1632.00,29005.83,1693.00,30253.52,1732.00,30824.99,1740.00,30987.10,1672.00,29656.07,1771,31531,1719,30521,1700,30171,1833,32432,1874,33373,1865,33142,1968,35028,2002,35672,1961,35135
